32,Punch,,"Usually fruit juices and other drink mixers, optionally with alcohol.",Varies widely. Many prepared mixes are available.,,,Punch (drink),-20,5,1,38
35,Negroni (cocktail),,*30ml (1 part) gin *30ml (1 part) sweet red vermouth *30ml (1 part) campari,"Stir into glass over ice, garnish and serve.",on the rocks,orange peel,Negroni,0,10,16,37
36,Tequila Slammer,"If champagne is used instead of lemonade, the drink is known as a '''slammer Royale'''","*One part tequila *One part 7 Up, ginger ale or Mountain Dew",Mix carefully to avoid releasing the dissolved CO 2 .,straight,,Tequila Slammer,15,20,1,46
37,Karsk (A.K.A Hot Caustic),,*6cl (3 parts) Pure alcohol *6cl (3 parts) Hot coffee,Heat the coffee, serve hot.,,hot,-80,0,8,33
38,Caesar,,*6 oz. Clamato Juice *1–1½ oz. Vodka *2 Dashes hot sauce *4 Dashes Worcestershire sauce *Celery salt *Freshly ground pepper *Lime wedge *1 Crisp celery stalk,"Rim glass with celery salt, and a Lime wedge.",on the rocks,stalk of celery and wedge of lime,Caesar (cocktail),10,30,40,46
39,Golden Cadillac,,*20ml (1 part) Galliano *20ml (1 part) Crème de cacao (white) *20ml (1 part) Cream,Shake together over ice. Strain into cocktail glass and serve chilled.,straight,,Golden Cadillac,-5,5,1,46
40,Snakebite,,* One part beer * One part cider,Mix in equal volumes in a standard pint glass.,Without ice,,Snakebite (shandy),10,17,1,46
41,The Vod-Bomb,,*6 oz. vodka *1 can Red Bull (AML),"Either mix, with or without ice, or drop a shot of vodka into the Red Bull in the style of Depth charge","on the rocks, or straight up",,Vodka Red Bull,-80,80,40,46
42,Tom and Jerry,Served hot in a mug or bowl,"eggs or egg whites, sugar, brandy or rum",Mix egg and milk with rum,straight,,Tom and Jerry (mixed drink),-30,10,1,33
43,Sake Bomb,,* 1 pint (~14 parts) beer * 1 shot (1 part) Sake,"The shot of sake is dropped into the beer, causing it to fizz violently. The drink should then be consumed immediately.",straight,,Sake bomb,10,20,1,29
44,Kalimotxo,,* One part red wine * One part cola or another carbonated soft drink,Stir together over plenty of ice.,on the rocks,,Kalimotxo,7,12,40,41
45,Kir,A recipe can be found at the International Bartenders Association website.,*90ml (3 ounces) (9 parts) white wine *10ml (0.33 ounce) (1 part) crème de cassis,"*Add the crème de cassis to the bottom of the glass, then top up with wine.",,,Kir (cocktail),10,20,24,33
46,Flaming Doctor Pepper,,*1 pint (~13 parts) beer *3 parts Amaretto *1 part high-proof liquor,"Layer the two spirits in the shot glass, with the high-proof liquor on top. Light the shot and allow it to burn; then extinguish it by dropping it into the beer glass. Drink immediately.",,,Flaming Doctor Pepper,-20,10,18,23
47,Stinger,,*3 parts brandy *1 part white crème de menthe,Mix in a cocktail shaker and strain into a cocktail glass. May also be served on rocks in a rocks glass.,straight,,Stinger (cocktail),10,15,40,46
49,Zurracapote,,"* red wine * fruit (peaches, lemons) * sugar * cinnamon",,,,Zurracapote,25,40,40,46
51,Appletini (aka Apple Martini),,*40ml (3 parts) Vodka *15ml (1 part) Apple schnapps / Calvados *15ml (1 part) Cointreau,"Mix in a shaker, then pour into a chilled glass. Garnish and serve.",straight up,Apple slice, Cherry,10,40,40,46
52,Buck's Fizz,,* 100ml (2 parts) orange juice * 50ml (1 part) champagne,"* Pour the orange juice into glass and top up champagne. Stir gently, garnish and serve.",straight,orange twist,Buck's Fizz (cocktail),10,40,40,46
53,Bumboo,,*2 ounces rum *1 ounce water *2 sugar cubes *Sprinkle 1/4 teaspoon to taste cinnamon *Sprinkle 1/4 teaspoon to taste nutmeg,Mix and garnish.,straight,Nutmeg,Bumbo,20,50,40,46
54,Vodka tonic,,"*One part vodka *One to three parts tonic water, to taste","Mix and serve-stirred, not shaken.",on the rocks,"citrus fruit, usually lime or lemon",Vodka tonic,-5,20,10,15
55,Morir Soñando,,* 2 cups orange juice * 1/2 cup of sugar * 4 cups of evaporated milk * 2½ cup of crushed ice,"Mix sugar and milk and stir until all the sugar has dissolved. Refrigerate until very cold. Add the ice to the milk and stir. Slowly pour the orange juice in the milk, stirring constantly. Serve immediately.",shaken,None,Morir soñando,20,30,16,37
56,Tamagozake,"An alternative preparation method is to heat the sake/egg/honey mixture together, while whisking occasionally.  Be careful to stop cooking before it turns into scrambled eggs.",*One raw egg (or egg yolk only) *3/4 cup (200 cc) sake *Honey or sugar to taste,Whisk the raw egg yolk and honey/sugar into 3/4 cup hot sake (hot enough to lightly cook the egg - 1:30 in the microwave).,hot,,Tamagozake,-10,10,1,39
57,Brass Monkey,,*One part dark rum *One part vodka *One part orange juice,Stir together and serve over ice.,on the rocks,,Brass Monkey (cocktail),0,20,1,46
58,Coquito,,"*28 oz Coconut milk *2 cups Rum *14 ounces Condensed milk *vanilla, to taste","Place ingredients into blender, blend until well mixed. Pour into a bottle and refrigerate until cold. Serve in small glasses and sprinkle top lightly with nutmeg.",strained,"cinnamon, nutmeg",Coquito,20,50,40,46
59,Tequila Sunrise,,* 45ml (3 parts) Tequila * 90ml (6 parts) Orange juice * 15ml (1 part) Grenadine syrup,"Pour the tequila and orange juice into glass over ice. Add the grenadine, which will sink to the bottom. Do not stir. Garnish and serve.",on the rocks,orange slice and cherry,Tequila Sunrise (cocktail),20,30,40,46
60,Gimlet,,* Four parts gin * One part sweetened lime juice,Mix and serve. Garnish with a slice of lime,straight or on the rocks,Lime,Gimlet (cocktail),15,25,30,40
61,Hurricane,,*One part dark rum *One part white rum *Half part over proofed rum *passion fruit syrup *lime juice,"Shake ingredients with ice, then pour into the glass and serve over ice.","on the rocks, poured over ice",,Hurricane (cocktail),15,40,1,46
62,Michelada,,"Mix the beer with tomato juice, freshly squeezed lime juice, and Worcestershire sauce, teriyaki sauce, soy sauce, or hot sauce.",,"in a chilled, salt-rimmed glass",Lime,Michelada,0,15,1,33
63,Alabama Slammer,,*3/4 oz. Amaretto *3/4 oz. Southern Comfort *3/4 oz. Sloe Gin *fill with orange juice,,on the rocks,,Alabama Slammer,15,30,1,46
64,Baby Guinness,Variation substitutes black Sambuca for coffee liqueur,"3/4 shot (3 parts) Coffee liqueur, 1/4 shot (1 part) Irish cream",Float Irish cream on top of coffee liqueur,,,Baby Guinness,-10,10,1,30
65,Tinto de verano,,*One part red wine *One part gaseosa (or a mixture of Sprite and water or Fanta),Mix and serve well chilled.,on the rocks,lemon slice,Tinto de verano,20,60,1,46
66,Rickey,,"*2oz bourbon, rye whiskey, or gin *Half of a lime squeezed and dropped in the glass *Sparkling Mineral Water","Combine spirit, lime and shell in a highball or wine glass. Add ice, stir and then add sparkling mineral water.",on the rocks,lime half shell,The Rickey,20,40,40,46
67,Yorsh,,*10 part beer * 1 part vodka (Ratio varies to taste),Mix thoroughly and drink quickly!,,,Yorsh,5,7,1,2
68,Carrot Cake,,* one part Baileys Irish Cream * one part Hot Damn Cinnamon Schnapps * one part Frangelico,,,,Carrot Cake (cocktail),-100,0,1,46
69,Irish Car Bomb,Original recipe: * 1/2 oz. Irish cream * 1/2 pint Irish stout * 1/4 oz. Irish whiskey * 1/4 oz. coffee liqueur,* 1/2 shot Irish whiskey * 1/2 shot Irish cream * 1/2 pint Irish stout,"The whiskey is floated on top of the Irish cream in a shot glass, and the shot glass is then dropped into the stout.",straight,,Irish Car Bomb,0,25,1,40
70,Bellini,Traditionally a Bellini uses Prosecco for the wine and white peaches for the fruit.,* 100ml (2 parts) dry sparkling wine * 50ml (1 part) fresh peach purée,"Pour peach puree into chilled flute, add gently sparkling wine. Stir gently.",straight,,Bellini (cocktail),20,40,1,30
71,Lynchburg Lemonade,,"Jack Daniel's, triple sec, sour mix, lemon-lime",Shake and Strain,on the rocks,"Lemon wedge, maraschino cherry",Lynchburg Lemonade,5,25,1,40
72,Rusty Nail,,*45ml (9 parts) Scotch Whisky *25ml (5 parts) Drambuie,"First fill a 16 oz glass with crushed ice until it is overflowing. Pour in 5 parts drambuie and 9 parts scotch. Stir gently, as to not bruise the ice. Keep stirring until a thick frost develops on the side of the glass. Garnish with a lemon twist. Serve.",on the rocks,Lemon twist,Rusty Nail (cocktail),-5,20,1,37
73,Grasshopper,,*30 ml (1 part) Crème de menthe (green) *30 ml (1 part) Crème de cacao (white) *30 ml (1 part) Fresh cream,Pour ingredients into a cocktail shaker with ice. Shake briskly and then strain into a chilled cocktail glass.,straight,,Grasshopper (cocktail),0,20,40,46
74,Monkey Gland,,* 1 part gin * 1 part orange juice * dash absinthe * dash grenadine,"Shake well over ice cubes in a shaker, strain into a chilled cocktail glass.",,,The Monkey Gland,0,20,1,17
75,Cerveza Preparada,,* Tomato juice * Mexican beer,,without ice,,Cerveza preparada,10,25,1,37
76,Colombia,,*2 parts vodka * 1 part blue Curaçao * 1 part grenadine * 1 part lemon juice * 6 parts orange juice,"Shake the vodka and citrus juices in a mixer, then strain into the glass. Slide the grenadine down one side of the glass, where it will sink to the bottom. Slide the curacao down the other side, to lie between the vodka and grenadine, and serve before the layers have a chance to mix.",,,Colombia (cocktail),20,40,40,46
77,The Blenheim,,* 3 parts Brandy * 2 parts Yellow Chartreuse * 1 part Lillet * 1 part Orange Juice * 1 part Dubonnet,"Shake ingredients together with ice, and strain into a cocktail glass.",straight,,Joe Gilmore,0,15,1,37
78,Bronx,,* 30ml (6 parts) Gin * 15ml (3 parts) Sweet Red Vermouth * 10ml (2 parts) Dry Vermouth * 15ml (3 parts) Orange juice,"Pour into cocktail shaker all ingredients with ice cubes, shake well. Strain in chilled cocktail or martini glass.",straight,orange twist,Bronx (cocktail),10,25,40,46
79,Jack Rose,,*2 parts applejack *1 part lemon or lime juice *1/2 part grenadine,"Traditionally shaken into a chilled glass, garnished, and served straight up.",straight,"cherry, apple slice",Jack Rose (cocktail),10,20,1,30
80,London Fog,,*7 parts gin * 2 parts pernod,,,,London Fog (cocktail),-5,20,30,37
81,El Presidente,,*Two parts rum *One part curaçao *One part dry vermouth *Dash grenadine,"stir well with ice, then strain into glass. Garnish and serve.",straight,twist of orange peel,El Presidente (cocktail),20,40,40,46
82,Salty dog,,*40ml gin *100ml grapefruit juice,Shake vodka and grapefruit juice in cocktail shaker. Strain into a salt-rimmed highball glass.,straight,Salted glass,Salty dog (cocktail),-5,15,1,30
83,Backdraft,"The cinnamon can be replaced with black pepper if desired, creating a much more bitter drink, known as the '''pepperdraft'''",* Grand Marnier * Drambuie * Cinnamon * Ice,"The preparation of this drink is complex, and is explained below.",straight,Cinnamon,Backdraft (drink),-5,20,15,40
84,Vesper,,*Three measures 90-proof gin * One measure 100-proof Polish vodka * One-half measure Kina Lillet or Cocchi Americano,"Shake over ice until well chilled, then strain into a deep goblet and garnish with a thin slice of lemon peel.",straight,lemon peel,Vesper (cocktail),-5,10,1,46
85,Americano,,*30ml Campari *30ml red vermouth *A splash of soda water,"Pour the Campari and vermouth over ice into glass, add a splash of soda water and garnish with half orange slice.",on the rocks,half an orange slice,Americano (cocktail),-5,20,10,37
86,Incredible Hulk,,*One part hpnotiq * One part cognac,Stir together and serve over ice.,on the rocks,,Incredible Hulk (cocktail),0,15,10,40
